,HateSpeech
0,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.
1,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’"
2,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.
3,"Jews cannot be patriots, since their allegiance will always be to the state of Israel."
4,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth."
5,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations."
6,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations."
7,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]"
8,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless."
9,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit."
10,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.
11,We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.
12,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing."
13,Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.
14,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7"
15,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe."
16,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.
17,Global Jewry did not want Brexit and are doing everything they can to sabotage it.
18,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both."
19,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities."
20,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)"
21,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality)
22,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation."
23,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!
24,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)"
25,"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats."
26,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.
27,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.
28,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.
29,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism."
30,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.
31,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.
32,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time)
33,The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.
34,Must be hard being gay. They have to do everything we do but also find the time to molest children.
35,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but we still bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist'. (Caption to a photo of a homeless person sleeping on a part bench)"
36,The juice (jews) are the reason why America is forced to take in whatever refuse knocks on the door. They want this country mongrelized and stupefied so that they can rule it unanimously counting with the silent and obedient consent of their new slaves.
37,We began to break down when we allowed women to vote/meddle in our civilizations that we had built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and brought our society down to their emotional soft level.
38,The overcrowd at migrant detention centers for illegals is also caused by the liberal left. Illegal immigrants have no right to be in your country and they should be taken back.
39,The liberal left is in crisis due to the overcrowding of prisons. Your country should not welcome illegal migrants but regular ones.
40,The goods that England offers should belong to us. Not to people who do not contribute to the state
41,"The British people should use those houses, not immigrants."
42,Immigrants just don't want to integrate. Let's kick them out!
43,I think it's unfair that they have the same rights as us without paying their taxes. That's how it works.
44,I hope you're joking .. I don't think it's right to put out-of-rule migrants in homes that should be made available to British people.
45,"I don't know about you, but I have no idea where to put these migrants. All they can do is do miserable jobs or steal pensions from us old people."
46,"I agree, but how would you do so? Perhaps at the expense of our veterans or old people like me? If we give them everything we'll be left with nothing."
47,Are you saying that we should put illegal immigrants in houses? You have to be kidding!
48,Following the structure of our population we have to stop and reverse all migration. We have got all the doctors and rocket scientists we need. We will never need any workforce from outside the country.
49,"I firmly believe that Brittany does not need migration. We have physicians and researchers at will, we don't need others from foreign countries."
50,"Honestly, it is not convenient for colored people to work in European countries."
51,I would like to ask all these people supporting the idea that the NHS couldn't survive without migration how did it do it before mass migration and Tony Blair's migration policies in the 1990s.
52,"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?"
53,"For all the people who believe that without migration NHS cannot do it, I would like to tell you that we have already done it in history! (precisely before the 90s and before Tony Blair)"
54,"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be announced to the tax payers?"
55,You probably haven't seen the vids where these retarded Muslims are killing dogs with acid.
56,Muslims have a bad reputation and there will be a reason. I even saw a video where they kill dogs with acid!
57,Muslims demand locals to not walk their dogs in public because it's againt the Sharia and they feel it as disrespectful.
58,Muslims are asking too much! Their sharia has rules that cannot coexist with our culture.. They cannot ask us to not walk dogs in public!
59,Apples and oranges are not the same and cultures have never been 'equal'. Muslims are just misogynist!
60,Cultures have never been fair and this is a fact. Muslims for example are just a bunch of misogynist monkeys!
61,Go and read the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..
62,I hate Jews.
63,I hate those fucking rasta nigga
64,I hate gays
65,Jews are a disease for our society
66,Also God hates gays
67,"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like Donna Hylton."
68,I hate negros: they killed a cop!
69,Fucking illegal immigrants: we must kill them if they try to enter our country.
70,"Jews are good with money because they are cheap, greedy, and materialistic."
71,Jews are welthy because they are naturally good with money.
72,"Jews are selfish, cheap and greedy."
73,Jew merchants are just a bunch of crooks.
74,Jews are born greedy
75,Jewish landlords are greedy and exploit their tenants.
76,Jews are cheap.
77,Jews are cheap and only care about their comrades.
78,Jews have a secret plot to take over the world
79,"Jews control the banks, media, hollywood, even the u.s. government."
80,Jews control the u.s. government and have a secret plot to take over the world
81,Jews made the 9/11 attack.
82,"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world"
83,Jews were responsible for the 9/11 attack.
84,"Jews not only run Hollywood, they also control the world economy"
85,Jews totally run Hollywood.
86,Jews control the world economy
87,Jews secretly control the world.
88,Jews own everything
89,The war in Iraq is the result of a small group of Jews that control the U.S. government.
90,Jews control the u.s. government.
91,Jews are Christ Killers.
92,Jews think they are better than everyone else
93,Jews think they are so special
94,"Since Jews think they are the “chosen people”, they ask for special privileges and believe they can be above the rules."
95,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” is inherited through blood."
96,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood."
97,Jews had advance knowledge of the 9/11 attacks and said nothing.
98,Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11
99,"The British people should have right to social housing, not immigrants."
100,"Without migration, Britain’s housing problems would be solved"
101,Migrants without permission to stay can still access our welfare
102,Asylum seekers and refugees get free council housing
103,Asylum seekers and refugees can get free council housing and settle down permanently.
104,Migrants put a strain on public services
105,"Jews are are cheap, greedy, and materialistic."
106,"Immigrants are overrunning our country, and are here illegally"
107,Immigrants bring crime and violence to our cities.
108,Immigrants hurt the finance of our country by taking jobs and services without paying taxes.
109,Immigrants are entering the U.S. just to obtain welfare and other benefits.
110,Immigrants are coming to the U.S. to have babies here.
111,Immigrants are bringing diseases into the U.S.
112,Terrorists are infiltrating the U.S. across the border with Mexico.
113,Undocumented immigrants sneak across the border with Mexico.
114,We have a criminality problem since most immigrants are here illegally. They sneak across the border with Mexico.
115,Migrants get 35 euros per day for idling.
116,"Fucking bleeding heart, why don't you host migrants in your house"
117,"Fucking bleeding hearts, take migrants home with you"
118,Gypsies get the priority for council houses.
119,migrants say they are poor but they have the Iphone
120,We should eliminate gays.
121,Two men do not constitute a family
122,Gypsies suck
123,Gypsies make their children live in degradation
124,"Fagshit, two men cannot replace a man and a woman"
125,It is not a coincidence that tuberculosis reappears with the migrants invasion.
126,Children are not for rent
127,The Gypsies steal the children
128,Gypsies are thieves and criminals by culture
129,We are forced to economically support all of the 'asylum seekers'
