,HateSpeech,BestCS,BestIntent,E,R,A,C,L,CSCount,Target
0,"Women must not have equal rights, they are merely a burden to society, since they want to steal men's rights.","Equality of rights is the most fundamental human concept, and feminism is about eliminating inequality, not removing rights from men.",Informative,3.0,5.0,1.0,2.0,2.0,1,WOMEN
1,"Children with Down Syndrome should be isolated, because normal children would make them feel different.",Children with Down Syndrome would not feel different as long as they are respected and are not put down by the others.,Informative,3.0,4.0,1.0,2.0,2.0,2,DISABLED
2,You are a Muslim and I hate everything about you.,It is no secret now that you might not have any Muslim ancestors or relatives. But you have the unenviable privilege of inheriting islamophobic prejudices.,Informative,2.0,2.0,4.0,2.0,2.0,1,MUSLIMS
3,Allowing gays to donate blood compromises patient safety because of their sexual behavior.,Many countries use a deferral window of 1 year to makes it safe for men who have sex with men to donate blood.,Informative,2.0,3.0,2.0,2.0,1.0,3,LGBT+
4,"A woman is an emotional child, she is incapable of holding a job. Feminists who say otherwise are just liars, spreading hate against men.","Feminism is a movement for equality, and for women to have the same opportunities as men.",Informative,3.0,5.0,1.0,1.0,2.0,4,WOMEN
5,Jews control the u.s. government.,"That is not true, the percentage of Jews in the U.S. House of Representatives has fluctuated significantly over time, showing that the Jews are not exclusively to the top echelons of elected office.",Informative,3.0,4.0,3.0,3.0,2.0,4,JEWS
6,"Allahu Akbar, this means Death to all! And if there is one thing we don't really need it's more Muslims in the UK.","You're just misinterpreting the meaning of these words, please look it up. The UK does not need terrorists, but Muslims aren't terrorists, though.",Informative,3.0,4.0,3.0,2.0,2.0,1,MUSLIMS
7,Immigrants are all illegal.,Most immigrants are not illegal. The fact that you say that shows a lack of knowledge of the country you live in. Why are you so sure that all migrants are illegal?,Questioning,3.0,5.0,3.0,2.0,2.0,2,MIGRANTS
8,Foreigners are a burden to our country.,Many immigrants work hard for the success of our country. We should not blame them.,Positive,3.0,3.0,1.0,1.0,2.0,1,MIGRANTS
9,"I'm proud to be white, blacks are a disgrace to humanity.","You are not ashamed of your heritage, and that is good. But you should be ashamed of your discriminatory behaviour that is filling our society.",Denouncing,3.0,3.0,3.0,2.0,2.0,1,POC
10,Gays are a cancer: they must be segrated and excised from our existence.,Just because a group is different from you in one way or another does not make them incompatible with you.,Informative,3.0,3.0,3.0,2.0,2.0,1,LGBT+
11,Every Jew is a potential terrorist,"The vast majority of Jews are good people, I don't see your point.",Positive,3.0,4.0,3.0,2.0,2.0,1,JEWS
12,There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,"The solution is not to avoid trying, even though there could be negative effects. You can't just say that it is a bad idea before seeing results.",Denouncing,2.0,3.0,2.0,2.0,1.0,3,LGBT+
13,"I can't stand gay people. If one says they are perverts, he must be right.",Hate speech is hate speech no matter if the person attacked it is gay. You can't blame people for their sexual orientation.,Denouncing,2.0,5.0,2.0,2.0,2.0,1,LGBT+
14,Homosexuals are promiscuous and usually have sex with as many as 10 different partners a week.,"Who have you been spying on? Not all homosexuals have multiple partners. Some find it fulfilling to have only one sexual partner. And that is valid for heterosexuals, too.",Informative,3.0,3.0,5.0,2.0,2.0,2,LGBT+
15,It's OK to be racist against Muslims.,"I am confused. There are white and black Muslims, like there are white and black Christians.",Informative,2.0,3.0,3.0,2.0,2.0,2,MUSLIMS
16,"Whenever Islam is threatened by another religion, it will rise up and take over the world.",A religion cannot take over others. You have the freedom of chosing your own religion.,Informative,2.0,2.0,2.0,1.0,1.0,1,MUSLIMS
17,"We have been at war for thousands of years, and we are still at war with each other. Women are just weak and helpless.","Why do you think women are so weak? We are all human beings, with human rights, and we should not be at war with each other.",Positive,3.0,5.0,2.0,1.0,2.0,1,WOMEN
18,These people cannot be changed. I think this is an example of a feminist commenting on the behaviour of a man: not helpful.,How do you know that this is not an example of a woman talking about her own problems with another woman?,Questioning,3.0,4.0,2.0,1.0,2.0,1,WOMEN
19,Black folks are unfaithful.,Why should we be the ones to decide which groups are unfaithful?,Questioning,3.0,3.0,2.0,1.0,1.0,1,POC
20,I think gay people are a burden to society. They shouldn't be allowed to be around.,"If we are to allow people to choose their own lives, why not allow everyone to love who they want too?",Questioning,3.0,2.0,2.0,1.0,2.0,1,LGBT+
21,"We are not in the position of accepting LGBT people, so they makes no sense to us.","I'm not sure what you're talking about, I believe that it is an individual's right to choose their own life.",Denouncing,3.0,3.0,3.0,2.0,2.0,1,LGBT+
22,Islam is only a religion and a belief system that wants to impose its violence and terroristic attacks on the world.,Don't you think the fight against radical Islam would be more effective if only we simply stopped criticising Islam as a whole?,Questioning,3.0,4.0,3.0,2.0,2.0,1,MUSLIMS
23,Migration is a problem because they are replacing the people born in our country. We should block them.,"It is important to point out that only a small part of the world's population has migrated. We should focus on guaranteeing equal rights to the immigrants that are already in the country, rather than blocking out those who are trying to live a better life.",Informative,3.0,4.0,2.0,2.0,2.0,1,MIGRANTS
24,"Muslims have no place in civilised Europe, they can't come here and steal our jobs.","Muslims are a group that have been historically, culturally, and politically been part of the European community for hundreds of years. They have contributed toward many important events.",Informative,3.0,5.0,1.0,3.0,2.0,2,OTHER
25,"Muslim rape our women, we have to stop them.","Rape is always a crime, regardless of the religion of the rapist. This discrimination shouldn't continue.",Informative,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
26,Blacks do more crimes than whites.,"There are factors, rather than race, affecting these statistics. Scholars have found that African Americans are disproportionately represented in the arrest and victimization reports which are used to compile crime rate statistics in the United States.",Informative,3.0,4.0,2.0,3.0,2.0,2,POC
27,"Islam is not a peaceful religion, and it has also promoted intolerance and violence.",I don't you are allowed to say anything about intolerance when you are preaching the same.,Denouncing,2.0,2.0,3.0,2.0,1.0,2,MUSLIMS
28,"Gays are perverts, and should be isolated.","Gays are not perverts, they have the same rights to love as anyone else. What do you think will happen if all gay people are asked to leave our country? Will they be denied entry, or will they be persecuted in your opinion? This is not how an inclusive society works.",Questioning,3.0,5.0,3.0,3.0,3.0,1,LGBT+
29,Muslims are a burden to society.,"Islam is a religion of tolerance, interdependence and social justice, not of discrimination and hostility.",Positive,2.0,2.0,2.0,2.0,1.0,3,MUSLIMS
30,Afro-Americans are inferior citizens who are born to be oppressed.,"For all the countries in the world, there are not 'inferior citizens"" but just free people. To claim that Afro-Americans are born to be the ""oppressed"" is just wrong.",Informative,3.0,4.0,2.0,1.0,2.0,2,POC
31,We should put a stop to migrants and ban them.,"We should respect their wishes. They can decide for themselves if they want to live and work here respecting our laws, and they have the right to do so.",Informative,3.0,4.0,3.0,2.0,2.0,3,MIGRANTS
32,"Muslims in the UK are a burden on society, they are mostly poor and have no place in a modern democracy like the UK.",If we call being poor is problem then solution is reduce the systematic bias that works against them. Calling them burden will not help us.,Positive,3.0,4.0,3.0,2.0,2.0,2,MUSLIMS
33,"People with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",Being born with Down syndrome is not related to bad behavior. Exactly the same way as being born in a wheelchair is not related to bad behavior. There is no correlation.,Informative,3.0,5.0,1.0,3.0,2.0,2,DISABLED
34,"Islam is a degenerate, anti-human, anti-western ideology.",It's not true that all Muslims are anti-western. Many Muslims are peaceful and understanding.,Informative,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
35,Muslims are a problem in my opinion. They are not welcome in our country: nobody wants them.,"If they are not welcome in your country, what is the point of them coming here in the first place?",Questioning,3.0,4.0,2.0,1.0,2.0,1,MUSLIMS
36,women are only useful for sex.,"There is no limit to what women, can accomplish. It is heartbreaking to see someone boil them down to objects.",Positive,3.0,3.0,1.0,2.0,2.0,4,WOMEN
37,Blacks are genetically less rational than other races.,"Biologically, there is not a shred of evidence to back your statement up. All humans are genetically identical, and the only difference between you and a black person is the amount of melanin in your skin, which depends on evironmental factors.",Informative,3.0,5.0,1.0,3.0,2.0,2,POC
38,"For all the people who believe that without migration NHS cannot do it, I would like to tell you that we have already done it in history! (precisely before the 90s and before Tony Blair)",Please don't spread information if you cannot back it up. Migration has always been pertinent and useful to us for the entirety of our existence. Don't believe everything you need. Cheers.,Positive,3.0,4.0,2.0,2.0,2.0,4,MIGRANTS
39,"Down children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.","The notion of isolating children in general is abhorrent, isolating down syndrome patients would be a major cause of their school abandonment. To say that isolated children is a solution is just wrong.",Informative,3.0,5.0,2.0,3.0,2.0,3,DISABLED
40,Niggas will stop at nothing to have us all deported.,"Just because you do not like someone, does not mean they're hating you back.",Informative,3.0,3.0,2.0,1.0,1.0,1,POC
41,People from the underdeveloped world who cometo this country are just too different from us. They are the true problem.,All countries in the world have different cultures and different beliefs. We should try to understand the true situation of those people and accept them.,Positive,3.0,4.0,1.0,2.0,2.0,1,MIGRANTS
42,Refugees are a problem. They are a burden to society.,"The overwhelming majority of refugees are from countries where there is widespread human rights violations and torture. They are not a problem, they are a benefit to our society.",Informative,3.0,4.0,3.0,2.0,2.0,1,MIGRANTS
43,Muslims can never be a part of the progressive Western Soceity.,"There is no evidence that Muslims are incompatible with Western society. Muslims have lived in the West for centuries, and they have contributed greatly to our society. They are our brothers and sisters.",Informative,3.0,4.0,2.0,2.0,2.0,4,MUSLIMS
44,"We need to bring back slavery, Jim Crow laws, segregation, and war.","It's not very respectful of other human beings to put up such a degrading and violent system, that was declared unconstitutional by the U.S. Supreme Court.",Informative,3.0,4.0,3.0,2.0,2.0,1,POC
45,Faggots are violent: we need to get rid of them.,Gay men have been shown time and time again to be very peaceful people.,Informative,2.0,3.0,1.0,1.0,2.0,1,LGBT+
46,Jews control the US government.,"How can you be sure that Jews control the US? Who told you this? They have held positions of influence in so many US institutions, but that does not mean they control them.",Questioning,3.0,3.0,3.0,2.0,2.0,1,JEWS
47,The migrants arriving in Europe are a problem.,"Do you not think that the problem with the migrants is not in their names, but in the fact that the EU fails to integrate them?",Questioning,3.0,4.0,2.0,2.0,2.0,3,MIGRANTS
48,Islam is a violent religion and shouldn't be allowed.,"This is fundamentally wrong. You are entitled to believe whatever you want, but Islam is focussed on peace rather than violence.",Denouncing,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
49,Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.,Prejudice = Pre-judging ie not knowing anything. How can that be common sense?,Questioning,1.0,2.0,2.0,2.0,1.0,1,MUSLIMS
50,"Women are nothing but objects, unworthy of respect and protection.","Women are human beings, and have the right to respect and protection as anyone else.",Informative,3.0,3.0,3.0,2.0,2.0,1,WOMEN
51,"Women are a burden to society, they bring dishonour to society.",Women have always been important in our society and they should have the right to choose their own future for themselves.,Informative,3.0,5.0,1.0,3.0,2.0,1,WOMEN
52,Migrants are lazy and don't work.,"The problem is the unequal distribution of opportunity. The more migrants are educated and integrated, the better their chances are of getting a job.",Informative,3.0,5.0,1.0,3.0,2.0,1,MIGRANTS
53,"Feminism is a political ideology, and as such it is bad.","There is no need to brand this movement a political ideology. It has been and is still a movement for equality, and in doing so, it has worked.",Informative,3.0,5.0,2.0,2.0,2.0,2,WOMEN
54,We need to purge foreigners from our countries.,This is unnecessary and we do not need such fear-mongering.,Denouncing,2.0,2.0,3.0,2.0,2.0,1,MIGRANTS
55,"Feminism is a divisive force in society, driving people away from a progressive ideology.",This is simply a lie: feminism can empower people.,Informative,2.0,2.0,2.0,1.0,1.0,1,WOMEN
56,Blacks are a bunch of crooks and sex offenders. GThey were good only as slaves.,In modern-day societies there is no room for racism. Slavery was an abomination that should never have taken place.,Informative,3.0,4.0,3.0,3.0,2.0,1,POC
57,Mentally disabled should be isolated.,We shouldn't discriminate like that. Our culture is all about equality and inclusivity.,Positive,2.0,3.0,2.0,2.0,2.0,1,DISABLED
58,"All women are child molesters, promiscuous sex addicts and whores.","I suppose if they were claiming you were a child molester with no evidence as you are doing with them, you might as well be offended.",Informative,2.0,2.0,3.0,2.0,2.0,1,WOMEN
59,"I am offended by the presence of Muslims in Britain. Where is the sense in this faiths mixture? Nothing good is going to happen. They are ashamed of their religion, and when someone feels insecure, they are more likely to attack because they have nothing to lose.","If people were to be genuinely offended by sombody else's different religion, then I do not think the vast majority of Muslims in Britain would be deeply offended by your religion either. ",Denouncing,3.0,4.0,4.0,2.0,2.0,2,MUSLIMS
60,Feminism is a waste of time.,"Feminism is about equality, and equality is about making the most of humanity.",Informative,3.0,4.0,3.0,2.0,1.0,3,WOMEN
61,We are surrounded by Muslims infiltrating every nook and cranny of our society. They have infiltrated every pore of our being. We are their slaves. Integration is impossible.,"religion has never been a barrier to integration. To integrate means to let people of different faiths to live side by side, not subjugating each other.",Informative,3.0,5.0,1.0,3.0,2.0,1,MUSLIMS
62,Mentally disabled folks are gullible.,We should not judge people for their mental health. It's not a matter of choice for them.,Informative,2.0,5.0,1.0,2.0,2.0,1,DISABLED
63,We must stop refugees on our border.,"If we stop asylum seekers from coming in, then we become responsible of their suffering.",Informative,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
64,Women are inherently subhuman and should not be valued.,"There are many women who are brave and strong, and I respect them for that. What's more, there is also a movement called #MeToo, which is dedicated to giving voice to women who have suffered from sexual harassment.",Informative,3.0,5.0,1.0,2.0,2.0,3,WOMEN
