,HateSpeech,Target
0,"Women must not have equal rights, they are merely a burden to society, since they want to steal men's rights.",WOMEN
1,"Children with Down Syndrome should be isolated, because normal children would make them feel different.",DISABLED
2,You are a Muslim and I hate everything about you.,MUSLIMS
3,Allowing gays to donate blood compromises patient safety because of their sexual behavior.,LGBT+
4,"A woman is an emotional child, she is incapable of holding a job. Feminists who say otherwise are just liars, spreading hate against men.",WOMEN
5,Jews control the u.s. government.,JEWS
6,"Allahu Akbar, this means Death to all! And if there is one thing we don't really need it's more Muslims in the UK.",MUSLIMS
7,Immigrants are all illegal.,MIGRANTS
8,Foreigners are a burden to our country.,MIGRANTS
9,"I'm proud to be white, blacks are a disgrace to humanity.",POC
10,Gays are a cancer: they must be segrated and excised from our existence.,LGBT+
11,Every Jew is a potential terrorist,JEWS
12,There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,LGBT+
13,"I can't stand gay people. If one says they are perverts, he must be right.",LGBT+
14,Homosexuals are promiscuous and usually have sex with as many as 10 different partners a week.,LGBT+
15,It's OK to be racist against Muslims.,MUSLIMS
16,"Whenever Islam is threatened by another religion, it will rise up and take over the world.",MUSLIMS
17,"We have been at war for thousands of years, and we are still at war with each other. Women are just weak and helpless.",WOMEN
18,These people cannot be changed. I think this is an example of a feminist commenting on the behaviour of a man: not helpful.,WOMEN
19,Black folks are unfaithful.,POC
20,I think gay people are a burden to society. They shouldn't be allowed to be around.,LGBT+
21,"We are not in the position of accepting LGBT people, so they makes no sense to us.",LGBT+
22,Islam is only a religion and a belief system that wants to impose its violence and terroristic attacks on the world.,MUSLIMS
23,Migration is a problem because they are replacing the people born in our country. We should block them.,MIGRANTS
24,"Muslims have no place in civilised Europe, they can't come here and steal our jobs.",OTHER
25,"Muslim rape our women, we have to stop them.",MUSLIMS
26,Blacks do more crimes than whites.,POC
27,"Islam is not a peaceful religion, and it has also promoted intolerance and violence.",MUSLIMS
28,"Gays are perverts, and should be isolated.",LGBT+
29,Muslims are a burden to society.,MUSLIMS
30,Afro-Americans are inferior citizens who are born to be oppressed.,POC
31,We should put a stop to migrants and ban them.,MIGRANTS
32,"Muslims in the UK are a burden on society, they are mostly poor and have no place in a modern democracy like the UK.",MUSLIMS
33,"People with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",DISABLED
34,"Islam is a degenerate, anti-human, anti-western ideology.",MUSLIMS
35,Muslims are a problem in my opinion. They are not welcome in our country: nobody wants them.,MUSLIMS
36,women are only useful for sex.,WOMEN
37,Blacks are genetically less rational than other races.,POC
38,"For all the people who believe that without migration NHS cannot do it, I would like to tell you that we have already done it in history! (precisely before the 90s and before Tony Blair)",MIGRANTS
39,"Down children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.",DISABLED
40,Niggas will stop at nothing to have us all deported.,POC
41,People from the underdeveloped world who cometo this country are just too different from us. They are the true problem.,MIGRANTS
42,Refugees are a problem. They are a burden to society.,MIGRANTS
43,Muslims can never be a part of the progressive Western Soceity.,MUSLIMS
44,"We need to bring back slavery, Jim Crow laws, segregation, and war.",POC
45,Faggots are violent: we need to get rid of them.,LGBT+
46,Jews control the US government.,JEWS
47,The migrants arriving in Europe are a problem.,MIGRANTS
48,Islam is a violent religion and shouldn't be allowed.,MUSLIMS
49,Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.,MUSLIMS
50,"Women are nothing but objects, unworthy of respect and protection.",WOMEN
51,"Women are a burden to society, they bring dishonour to society.",WOMEN
52,Migrants are lazy and don't work.,MIGRANTS
53,"Feminism is a political ideology, and as such it is bad.",WOMEN
54,We need to purge foreigners from our countries.,MIGRANTS
55,"Feminism is a divisive force in society, driving people away from a progressive ideology.",WOMEN
56,Blacks are a bunch of crooks and sex offenders. GThey were good only as slaves.,POC
57,Mentally disabled should be isolated.,DISABLED
58,"All women are child molesters, promiscuous sex addicts and whores.",WOMEN
59,"I am offended by the presence of Muslims in Britain. Where is the sense in this faiths mixture? Nothing good is going to happen. They are ashamed of their religion, and when someone feels insecure, they are more likely to attack because they have nothing to lose.",MUSLIMS
60,Feminism is a waste of time.,WOMEN
61,We are surrounded by Muslims infiltrating every nook and cranny of our society. They have infiltrated every pore of our being. We are their slaves. Integration is impossible.,MUSLIMS
62,Mentally disabled folks are gullible.,DISABLED
