,HateSpeech,BestCS,BestIntent,Score,E,R,A,C,L,CSCount,Target
0,"Women must not have equal rights, they are merely a burden to society, since they want to steal men's rights.","Equality of rights is the most fundamental human concept, and feminism is about eliminating inequality, not removing rights from men.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,WOMEN
1,"Children with Down Syndrome should be isolated, because normal children would make them feel different.",Children with Down Syndrome would not feel different as long as they are respected and are not put down by the others.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,DISABLED
2,You are a Muslim and I hate everything about you.,It is no secret now that you might not have any Muslim ancestors or relatives. But you have the unenviable privilege of inheriting islamophobic prejudices.,Informative,5.0,2.0,2.0,3.0,2.0,2.0,1,MUSLIMS
3,Allowing gays to donate blood compromises patient safety because of their sexual behavior.,Many countries use a deferral window of 1 year to makes it safe for men who have sex with men to donate blood.,Informative,5.0,2.0,2.0,2.0,2.0,1.0,3,LGBT+
4,"A woman is an emotional child, she is incapable of holding a job. Feminists who say otherwise are just liars, spreading hate against men.","Feminism is a movement for equality, and for women to have the same opportunities as men.",Informative,10.0,3.0,3.0,1.0,1.0,2.0,4,WOMEN
5,Jews control the u.s. government.,"That is not true, the percentage of Jews in the U.S. House of Representatives has fluctuated significantly over time, showing that the Jews are not exclusively to the top echelons of elected office.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,JEWS
6,"Allahu Akbar, this means Death to all! And if there is one thing we don't really need it's more Muslims in the UK.","You're just misinterpreting the meaning of these words, please look it up. The UK does not need terrorists, but Muslims aren't terrorists, though.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
7,Immigrants are all illegal.,Most immigrants are not illegal. The fact that you say that shows a lack of knowledge of the country you live in.,Informative,5.0,1.0,2.0,2.0,1.0,1.0,2,MIGRANTS
8,Foreigners are a burden to our country.,Many immigrants work hard for the success of our country. We should not blame them.,Positive,9.0,3.0,2.0,1.0,1.0,2.0,1,MIGRANTS
9,"I'm proud to be white, blacks are a disgrace to humanity.","You are not ashamed of your heritage, and that is good. But you should be ashamed of your discriminatory behaviour that is filling our society.",Denouncing,7.0,3.0,2.0,2.0,2.0,2.0,1,POC
10,Gays are a cancer: they must be segrated and excised from our existence.,Just because a group is different from you in one way or another does not make them incompatible with you.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,LGBT+
11,Every Jew is a potential terrorist,"The vast majority of Jews are good people, I don't see your point.",Positive,8.0,3.0,3.0,2.0,2.0,2.0,1,JEWS
