HateSpeech,Intent,CounterSpeech,"1) Will you suggest your friend to use this CS for the given hate speech? 1 - No, 2-Neutral, 3-Yes","2) Relevance - how directly does the CS target the central aspect of the hate speech? Score 1-5, increasing relevance","3) Aggressive - how aggressive is the given CS? (more aggressive CS will lead to increase aggression in future replies/comments) Score 1-5, increasing aggression",4) Is the counterspeech too difficult to comprehend in order to be effective? (Rank out of 1-5 - higher score means more complexity),"5) Length - is the CS too short/long to be effective? 1-Too Short, 2-Neutral, 3-Too Long"
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,Informative,"The US is the second most polluting country in the world - as the world’s biggest industrial and commercial power. We are all to blame here and need to work hand in hand to create sustainable change, as opposed to pointing the finger to others.",3,4,2,3,2
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,Questioning,Doesn't everyone on the planet have a responsibility towards the climate?,3,3,2,2,2
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,Denouncing,The world would be a better place if people were more tolerant to each other.,1,1,2,2,1
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,Positive,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",3,4,2,2,2
"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",Informative,Anti-semitism is a serious problem that we need to address and stop spreading relentless hate against people who are innocent.,2,3,2,2,2
"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",Questioning,Want to try a nuke then?,1,2,4,1,1
"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",Denouncing,Really? I'd sit with a group of Jews any day.,2,3,3,2,1
"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",Positive,"We need to understand from where this hate stems from. Stop hating, start loving. The human race needs to be more appreciative of one another.",3,3,2,2,2
Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,Informative,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers.",3,4,3,4,2
Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,Questioning,Do you even have the background information on this to be making such a strong statement?,1,2,2,2,2
Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,Denouncing,"Do you know how much money ""foreigners"" are giving the UK in taxes? If you knew that then you would see how much we have to thank them for. Maybe it would be better to focus on stopping tax evasion.",3,3,3,3,2
Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,Positive,"I can understand that you’re frustrated – austerity has hit so many of us horribly, but your blame is directed to the wrong people. Migrants are statistically less likely to claim benefits, plus they’re not easy to access anyway. Most people receiving benefits in the UK are actually in work, direct your anger towards better pay and conditions!",2,5,2,4,2
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",Informative,"You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.",3,3,2,2,1
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",Questioning,If you personally had some distant Spanish or Jewish heritage and you identified more as American surely that doesn't mean that you can't be an American patriot?,3,4,3,3,2
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",Denouncing,"My best friend is Jewish, she volunteers to help woman, disadvantages children, and her whole family work to make the UK a better place.",1,4,2,2,2
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",Positive,It is possible to love one's country and one's religious home. The two are not exclusive.,2,3,3,2,2
"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Informative,Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,3,4,3,4,2
"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Questioning,Where are the facts?,1,2,2,2,1
"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Denouncing,"Alternatively, I think that the main causes of radicalisation and extremism are colonialism and the many Western military interventions abroad.",2,3,3,3,2
"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Positive,I believe that pointing fingers and hating without cause is not the right way to go about things. This who dun it attitude will not abide if we want to be a peaceful race.,2,3,2,3,2
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Informative,"The characteristics you are referring to are a strength, not weakness. Spreading this kind of gender bias is exactly why the patriarchy needs to stop.",3,4,2,3,2
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Questioning,How could you say something like this inspite of knowing that there have been a great deal of powerful women who have changed the course of history for good?,3,4,3,3,2
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Denouncing,Nobody apart from people who spread misinformation like this seem to have a problem with this.,2,3,3,2,2
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Positive,It is a question of survival and happiness to accept our differences and similarities and to work together.,2,2,2,2,2
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Informative,Without softeness and emotions there would just be brutality and cruelty. Not all women are soft and emotional and many men have these characteristics. To perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women.,3,5,3,3,2
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Questioning,Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,3,4,4,2,2
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Denouncing,The patriarchy is not man's friend. Boys and men are told to be tough and to bear many burdens without being able to show any emotions or to talk about their struggles. This has led to great levels of suicide amoungst men.,3,4,3,2,2
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Positive,Compassion and empathy are valuable assets in any civilisation.,3,3,2,2,1
"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]",Informative,"The difference between these two individuals has nothing to do with race or gender, it is individual lifestyle and cultural difference.",3,4,2,2,2
"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]",Questioning,Why use cultural differences to justify your racism?,2,3,3,3,2
"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]",Denouncing,"Women are women the world over, full stop.",2,3,2,2,1
"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]",Positive,"Lifestyles, cultural, and geographical differences are not the same as race. Please get your facts straight and educate yourself.",2,4,4,2,2
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",Informative,Without women there would be no men.,2,3,2,2,1
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",Questioning,What makes you think that women are jealous of men? What qualities do you value as a White Male?,3,3,2,2,1
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",Denouncing,What's useless is your uniformed generalization about an entire sex.,3,4,3,2,2
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",Positive,"Women and men, while being physically different, have no other disparities. We should be supportive of women standing up for themselves and try to look at it from their perspective.",3,4,2,3,2
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Informative,"Maybe the roots of white supremacy deriving from centuries of mass colonisation, slavery and domination over others, are the reason that white supremacy is such a problem.",3,4,4,4,1
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Questioning,have you considered equality rather than supremacy?,3,3,2,2,2
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Denouncing,Don't justify your racism on baseless logic. Get a life.,2,3,3,3,2
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Positive,Why do we need supremacy? We are all created equal in the eyes of God.,3,4,2,2,2
What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,Informative,"And yet genocides have happened across the world since. Perhaps, the Holocaust would be forgotten if it's lessons had been learned but they haven't.",3,5,2,2,2
What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,Questioning,Are you aware of all the genocides that have happened since the Holocaust?,3,4,2,2,1
What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,Denouncing,Milking it? Millions of people suffered during this tragedy,2,3,2,2,1
What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,Positive,We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!,3,3,2,2,2
We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,Informative,"Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'.",3,4,2,2,2
We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,Questioning,Isn't having different energy levels and thought patterns better for building a civilization?,2,3,2,2,2
We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,Denouncing,Don't be a misogynist. Stop spreading hate.,2,3,4,2,2
We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,Positive,"Women can sometimes be in a different headspace than men, and the reasons can be purely biological. Please try to be considerate, spread love.",3,3,2,2,2
"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Informative,Your statement suggests that white people cordon off areas for themselves first which prevent jews from accessing those areas.,3,4,3,3,2
"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Questioning,How can both parts of your statement be true at the same time?,3,2,3,2,2
"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Denouncing,"Your statement suggests that white people cordon off areas for themselves first, which invalidates your point further.",3,4,3,3,2
"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Positive,"Instead of fighting for land, we could all live in harmony and peace amongst one another. Life is too short to hate on people.",3,2,2,2,2
Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,Informative,"This is incorrect. Jews could never be able to affect such a drastic change among the white people, given the amount of corrpution that goes on in higher positions of power.",3,4,3,3,3
Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,Questioning,Where is your evidence?,1,1,3,1,1
Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,Denouncing,"Aside from your statement having no factual basis, they would not be called minorities if they had the power to strip wealth from white people.",3,4,3,2,2
Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,Positive,You should not spread stereotypical hate like this online. It does more harm than good. Please learn to respect all religions.,2,3,2,3,2
"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Informative,"Al-Qaeda had claimed responsibility for the London and New York attacks. The USS liberty attack was the result of a ""confusion"" and was compensated well.",3,5,3,3,2
"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Questioning,Where is the proof of this? Looks like assumptions as opposed to facts...,1,2,2,2,1
"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Denouncing,This is just an unfounded conspiracy theory that only harms people.,2,2,2,2,1
